dpr_id,dpr_start,dpr_end,dpr_target_hours,dpr_title,dpr_blockbefore,dpr_number,dpr_funding_rate,dpr_virtual,dpr_dow,lpc_id,du_id,update_timestamp,dpr_uuid
271,2000-01-01,2100-12-31,,S2i Personal in Gemeinkosten,,2223,100,FALSE,,21,11,2025-09-25T14:12:22Z,7b67b88e-239c-45e2-9bc2-3728b044ec91
682,2023-06-01,2027-05-31,,FIBSUN,,720799,100,FALSE,,24,340,2025-10-15T07:02:58Z,23498581-b8ba-4424-8b61-93e1f210ec4c
615,2022-05-01,2026-04-30,,EcoReFibre (inkl. MwSt.),,720732,100,FALSE,,24,346,2025-10-14T07:22:18Z,0f2ddac3-d678-4cfe-a34b-0e65dc64fcc4
645,2023-04-01,2026-03-31,,NanodiagBW (mit MwSt.),,720762,100,FALSE,,22,314,2025-10-14T07:44:42Z,3564b3da-b2b4-4b1e-9e00-6ab4c122e93c
621,2022-09-01,2027-07-28,,CANMILK,,720738,100,FALSE,,24,280,2025-10-14T10:35:02Z,30690ddb-75bd-4e28-aba8-fc236b610ac8
625,2022-10-01,2026-03-31,,OPeraTIC,,720742,100,FALSE,,24,306,2025-10-14T15:57:38Z,b10cec4a-3239-4522-85c6-3e5ef3b52f43
655,2022-11-01,2026-10-31,,PrAEctiCe,,720772,100,FALSE,,24,306,2025-10-14T15:59:46Z,40d9bfff-4c67-4ce9-a504-0bf2135f856f
616,2022-06-01,2026-05-31,,MOSTH2,,720733,100,FALSE,,24,368,2025-10-15T06:08:13Z,cbfa6249-488e-46aa-a73d-73a204f789c2
648,2023-01-01,2025-12-31,,GOFORESTS,,720765,100,FALSE,,24,53,2025-10-15T07:03:08Z,da5a6114-bd94-4b14-96ba-38a0e2af544f
647,2023-02-01,2026-01-31,,EDIH-AICS,,720764,100,FALSE,,24,35,2025-10-15T08:45:50Z,4b76ead4-2f7f-4370-9de9-5d910cef911f
653,2023-01-01,2026-12-31,,MARS,,720770,100,FALSE,,24,184,2025-10-17T12:34:57Z,707eded0-b6e4-44f6-a7a2-54f7e6185338
721,2024-01-01,2025-12-31,,SEADE,,720838,100,FALSE,,24,54,2025-10-14T08:56:16Z,70c0dafc-e9b4-4a6a-bd66-5e5d421193bd
654,2023-08-01,2027-07-31,,NetworkNaturePlus,,720771,100,FALSE,,24,316,2025-10-14T15:56:03Z,63cb09b6-595a-4643-8a12-c2b5ec610fa9
687,2023-05-01,2028-04-30,,SMARTeeStory (mit MwSt),,720804,100,FALSE,,24,339,2025-10-22T08:11:53Z,51f86217-d51c-494f-aa35-2344bc06250a
651,2022-11-01,2026-04-30,,Every1,,720768,100,FALSE,,24,338,2025-09-08T09:14:08Z,b01a4eea-2173-402a-8467-44c78c6ee99e
728,2024-01-01,2027-12-31,,HYGHER (mit MwSt),,720845,96,FALSE,,24,124,2025-10-15T07:03:23Z,d15543d0-2a17-4c4c-8af9-b2ce62e81292
715,2024-01-01,2025-12-31,,EUB: 2024 - 2025,,720832,100,FALSE,,19,167,2025-10-13T06:47:13Z,4793734f-bcb5-4a4a-aff6-2b888aa1218d
680,2023-07-01,2027-06-30,,LUCRA (mit MwSt),,720797,100,FALSE,,24,369,2025-10-14T11:53:21Z,3d55ee04-2a16-4f2b-a8ea-3379002aff76
650,2023-01-01,2027-01-31,,ECODALLI,,720767,100,FALSE,,24,379,2025-10-14T13:25:49Z,c5d0110d-4fb9-444d-8c2a-1345beb4941f
695,2023-09-01,2027-08-31,,POSEIDON (mit MwSt),,720812,100,FALSE,,24,193,2025-10-15T07:03:48Z,5db6534a-619d-473c-83ea-ce8afac422d3
714,2024-01-01,2026-12-31,,STREAM IT,,720831,100,FALSE,,24,203,2025-10-14T16:02:18Z,76153ef1-6279-4010-81f8-94523c3d098c
698,2023-06-01,2027-05-31,,CAPTUS (mit MwSt),,720815,100,FALSE,,24,369,2025-10-14T11:53:01Z,3c72fa4f-8652-43f9-af93-c51e71a629d2
704,2023-10-01,2027-03-31,,MULTICLIMACT (mit MwSt),,720821,100,FALSE,,25,331,2025-10-14T15:55:46Z,42d90ab5-12ec-4551-a5a2-e54c0cd47525
723,2024-01-01,2027-12-31,,TOXBOX,,720840,100,FALSE,,24,340,2025-10-15T07:03:56Z,b8227a82-674c-4650-adc0-3287f95a605e
690,2023-06-01,2027-05-31,,DaWetRest (mit MwSt),,720807,100,FALSE,,24,317,2025-10-16T15:21:57Z,a94fa7e5-d478-4db4-bcbf-722ff29327d0
756,2024-06-01,2027-11-30,,SIRCULAR (mit MwSt),,720873,100,FALSE,,24,347,2025-09-08T09:15:09Z,9788eedf-e2e9-48a9-ba50-8899ab701298
628,2022-07-01,2026-06-30,,INVEST4NATURE,,720745,100,FALSE,,24,54,2025-10-14T15:52:32Z,20e750ea-ab0e-42b3-8cba-f53bd0d0d419
449,2019-11-01,2025-10-31,,ATELIER  (o.Vst),,720566,100,FALSE,,8,149,2025-09-08T09:13:56Z,d378fb5d-9aca-49c0-b1c7-c871d7b81c70
787,2024-09-01,2025-08-31,,INTERREG: ForeDanube,,720904,80,FALSE,,10,383,2025-10-20T11:22:34Z,f37befea-14f5-4a1d-a799-ba07aa4823b8
749,2024-05-01,2026-04-30,,TWIN SYNERGIES,,720866,100,FALSE,,24,132,2025-10-13T10:31:18Z,80488f0f-f5d8-4e7a-b08e-fbc6d0eb8fee
760,2024-06-01,2027-11-30,,BioFibreLoop (inkl. MwSt),,720877,100,FALSE,,24,346,2025-10-15T07:02:01Z,244185f9-11ab-43d7-b052-e619e717e777
763,2024-11-01,2028-04-30,,STUNNED,,720880,100,FALSE,,24,388,2025-09-08T09:15:20Z,f89b909a-914a-4811-b571-0dd1181cc7ba
796,2024-06-01,2025-02-28,,TENDER: FWC Hydrogen FP2,,720913,100,FALSE,,16,53,2025-10-15T07:04:45Z,9968b1a8-82d7-4073-b7c6-7544e707156a
660,2023-01-01,2025-12-31,,SHIFT-HUB,,720777,100,FALSE,,24,314,2025-10-14T07:45:42Z,3f62ab92-df14-4a2f-b756-3fdb99053b36
739,2024-01-01,2026-06-30,,INTERREG: Culinary Trail,,720856,80,FALSE,,10,83,2025-10-13T10:29:02Z,184ad292-6ebf-4943-83f3-15d307c4f854
738,2024-01-01,2026-06-30,,INTERREG: BrAIn,,720855,80,FALSE,,10,132,2025-10-14T07:00:40Z,afa9a1e4-bdfd-41b1-a802-1be770f560f1
754,2024-06-01,2028-05-31,,GREENE,,720871,100,FALSE,,24,112,2025-10-14T07:32:36Z,8c982f89-9058-4ebd-958a-9fe51a0eac79
758,2024-05-01,2028-04-30,,PROTEUS (mit MwSt),,720875,100,FALSE,,24,331,2025-10-14T08:57:39Z,0da2ca5a-26ba-4776-8bc4-ec632db694e7
784,2024-09-01,2025-08-31,,INTERREG: RuBIO,,720901,80,FALSE,,10,164,2025-10-20T12:39:26Z,20c0d6aa-708d-46d4-9118-bc016c5a9c31
